北 O
京 O
建 B-BRD
国 I-BRD
饭 O
店 O

北 O
京 O
京 B-BRD
伦 I-BRD
饭 O
店 O

如 B-BRD
家 I-BRD
精 I-BRD
选 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
广 O
渠 O
门 O
内 O
地 O
铁 O
站 O
鸿 O
润 O
店 O
) O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
广 O
饶 O
乐 O
安 O
大 O
街 O
县 O
政 O
府 O
店 O
) O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
广 O
饶 O
大 O
王 O
镇 O
政 O
府 O
店 O
) O

如 O
家 O
驿 B-BRD
居 I-BRD
酒 I-BRD
店 I-BRD
( O
广 O
饶 O
乐 O
安 O
大 O
街 O
县 O
政 O
府 O
广 O
场 O
店 O
) O

雅 B-BRD
客 I-BRD
e I-BRD
家 I-BRD
快 I-BRD
捷 I-BRD
酒 I-BRD
店 I-BRD
( O
泊 O
头 O
开 O
发 O
区 O
店 O
) O

北 O
京 O
好 O
苑 O
建 B-BRD
国 I-BRD
酒 I-BRD
店 I-BRD

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
朝 O
阳 O
北 O
路 O
传 O
媒 O
大 O
学 O
褡 O
裢 O
坡 O
地 O
铁 O
站 O
店 O
) O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
新 O
街 O
口 O
地 O
铁 O
站 O
店 O
) O

如 B-BRD
家 I-BRD
商 I-BRD
旅 I-BRD
酒 I-BRD
店 I-BRD
( O
沂 O
水 O
鑫 O
华 O
路 O
地 O
下 O
大 O
峡 O
谷 O
景 O
区 O
店 O
） O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
沂 O
水 O
汽 O
车 O
站 O
店 O
) O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
吕 O
梁 O
世 O
纪 O
广 O
场 O
市 O
政 O
府 O
店 O
) O

北 O
京 O
金 O
龙 O
建 B-BRD
国 I-BRD
温 I-BRD
泉 I-BRD
酒 I-BRD
店 I-BRD

如 B-BRD
家 I-BRD
商 I-BRD
旅 I-BRD
酒 I-BRD
店 I-BRD
（ O
吕 O
梁 O
滨 O
河 O
南 O
东 O
路 O
店 O
） O

和 B-BRD
颐 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
传 O
媒 O
大 O
学 O
财 O
满 O
街 O
店 O
) O

和 B-BRD
颐 I-BRD
至 I-BRD
尊 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
望 O
京 O
7 O
9 O
8 O
店 O
) O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
朝 O
阳 O
门 O
雅 O
宝 O
路 O
店 O
) O

如 B-BRD
家 I-BRD
联 I-BRD
盟 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
交 O
通 O
大 O
学 O
南 O
门 O
龙 O
福 O
宫 O
店 O
) O

北 O
京 O
前 O
门 O
建 B-BRD
国 I-BRD
饭 O
店 O

如 O
家 O
派 B-BRD
柏 I-BRD
· I-BRD
云 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
朝 O
阳 O
大 O
悦 O
城 O
店 O
) O

睿 B-BRD
柏 I-BRD
· I-BRD
云 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
平 O
谷 O
政 O
府 O
步 O
行 O
街 O
店 O
) O

北 O
京 O
松 O
鹤 O
建 B-BRD
国 I-BRD
酒 I-BRD
店 I-BRD
( O
培 O
训 O
中 O
心 O
) O

和 B-BRD
颐 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
亚 O
运 O
村 O
鸟 O
巢 O
店 O
) O

如 B-BRD
家 I-BRD
酒 I-BRD
店 I-BRD
( O
北 O
京 O
首 O
